Linux 5.15.0-136-generic (qiang-gpu6) 	09/11/25 	_x86_64_	(10 CPU)

17:36:48      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
17:36:49            5      1367      1.19      1.38      1.40         0
17:36:50            3      1362      1.19      1.38      1.40         0
17:36:51            8      1372      1.19      1.38      1.40         0
17:36:52            2      1359      1.19      1.38      1.40         0
17:36:53            2      1360      1.19      1.38      1.40         0
17:36:54            7      1388      1.25      1.39      1.41         0
17:36:55            2      1363      1.25      1.39      1.41         0
17:36:56            3      1360      1.25      1.39      1.41         0
17:36:57            3      1360      1.25      1.39      1.41         0
17:36:58            2      1363      1.25      1.39      1.41         0
17:36:59            4      1360      1.39      1.42      1.41         0
17:37:00            4      1360      1.39      1.42      1.41         0
17:37:01            3      1360      1.39      1.42      1.41         0
17:37:02            3      1363      1.39      1.42      1.41         0
17:37:03            3      1360      1.39      1.42      1.41         0
17:37:04            2      1360      1.52      1.44      1.42         0
17:37:05            4      1360      1.52      1.44      1.42         0
17:37:06            3      1360      1.52      1.44      1.42         0
17:37:07            3      1363      1.52      1.44      1.42         0
17:37:08            4      1362      1.52      1.44      1.42         0
17:37:09            5      1363      1.88      1.52      1.45         0
17:37:10            5      1360      1.88      1.52      1.45         0
17:37:11            1      1360      1.88      1.52      1.45         0
17:37:12            2      1363      1.88      1.52      1.45         0
17:37:13            3      1360      1.88      1.52      1.45         0
17:37:14            3      1360      2.05      1.56      1.46         0
17:37:15            2      1360      2.05      1.56      1.46         0
17:37:16            2      1360      2.05      1.56      1.46         0
17:37:17            4      1363      2.05      1.56      1.46         0
17:37:18            4      1360      2.05      1.56      1.46         0
17:37:19            3      1360      2.21      1.60      1.48         0
17:37:20            2      1360      2.21      1.60      1.48         0
17:37:21           14      1387      2.21      1.60      1.48         0
17:37:22            2      1363      2.21      1.60      1.48         0
17:37:23            3      1360      2.21      1.60      1.48         0
17:37:24            5      1359      2.51      1.67      1.50         0
17:37:25            3      1359      2.51      1.67      1.50         0
17:37:26            2      1359      2.51      1.67      1.50         0
17:37:27            1      1362      2.51      1.67      1.50         0
17:37:28            3      1359      2.51      1.67      1.50         0
17:37:29            4      1359      2.47      1.68      1.50         0
17:37:30            3      1359      2.47      1.68      1.50         0
17:37:31            5      1359      2.47      1.68      1.50         0
17:37:32            5      1362      2.47      1.68      1.50         0
17:37:33            4      1374      2.47      1.68      1.50         0
17:37:34            4      1359      2.51      1.70      1.51         0
17:37:35            4      1359      2.51      1.70      1.51         0
17:37:36            6      1359      2.51      1.70      1.51         0
17:37:37            4      1362      2.51      1.70      1.51         0
17:37:38            4      1359      2.51      1.70      1.51         0
17:37:39            3      1359      2.39      1.69      1.51         0
17:37:40            2      1359      2.39      1.69      1.51         0
17:37:41            3      1359      2.39      1.69      1.51         0
17:37:42            3      1362      2.39      1.69      1.51         0
17:37:43            3      1359      2.39      1.69      1.51         0
17:37:44            2      1359      2.68      1.76      1.53         0
17:37:45            2      1359      2.68      1.76      1.53         0
17:37:46            3      1359      2.68      1.76      1.53         0
17:37:47            3      1362      2.68      1.76      1.53         0
17:37:48            3      1359      2.68      1.76      1.53         0
17:37:49            8      1359      2.87      1.81      1.55         0
17:37:50            3      1359      2.87      1.81      1.55         0
17:37:51            6      1359      2.87      1.81      1.55         0
17:37:52            3      1362      2.87      1.81      1.55         0
17:37:53            4      1359      2.87      1.81      1.55         0
17:37:54            3      1359      2.96      1.85      1.56         0
17:37:55            3      1359      2.96      1.85      1.56         0
17:37:56            3      1359      2.96      1.85      1.56         0
17:37:57            5      1361      2.96      1.85      1.56         0
17:37:58            3      1358      2.96      1.85      1.56         0
17:37:59            3      1358      3.04      1.89      1.58         0
17:38:00            3      1358      3.04      1.89      1.58         0
17:38:01            3      1358      3.04      1.89      1.58         0
17:38:02            4      1361      3.04      1.89      1.58         0
17:38:03            3      1358      3.04      1.89      1.58         0
17:38:04            3      1358      3.04      1.91      1.59         0
17:38:05            5      1358      3.04      1.91      1.59         0
17:38:06            4      1358      3.04      1.91      1.59         0
17:38:07            4      1361      3.04      1.91      1.59         0
17:38:08            3      1358      3.04      1.91      1.59         0
17:38:09            3      1358      3.03      1.92      1.59         0
17:38:10            4      1358      3.03      1.92      1.59         0
17:38:11            3      1358      3.03      1.92      1.59         0
17:38:12            3      1361      3.03      1.92      1.59         0
17:38:13            3      1358      3.03      1.92      1.59         0
17:38:14            3      1358      3.03      1.94      1.60         0
17:38:15            4      1358      3.03      1.94      1.60         0
17:38:16            3      1358      3.03      1.94      1.60         0
17:38:17            2      1361      3.03      1.94      1.60         0
17:38:18            3      1358      3.03      1.94      1.60         0
17:38:19            2      1358      2.95      1.94      1.60         0
17:38:20            5      1358      2.95      1.94      1.60         0
17:38:21            3      1358      2.95      1.94      1.60         0
17:38:22           12      1372      2.95      1.94      1.60         0
17:38:23            3      1358      2.95      1.94      1.60         0
17:38:24            5      1358      2.87      1.94      1.61         0
17:38:25            6      1358      2.87      1.94      1.61         0
17:38:26            2      1358      2.87      1.94      1.61         0
17:38:27            3      1361      2.87      1.94      1.61         0
17:38:28            3      1358      2.87      1.94      1.61         0
17:38:29            3      1358      2.80      1.95      1.61         0
17:38:30            3      1358      2.80      1.95      1.61         0
17:38:31            3      1358      2.80      1.95      1.61         0
17:38:32            5      1361      2.80      1.95      1.61         0
17:38:33            2      1358      2.80      1.95      1.61         0
17:38:34            3      1358      2.82      1.96      1.62         0
17:38:35           10      1366      2.82      1.96      1.62         0
17:38:36            3      1359      2.82      1.96      1.62         0
17:38:37            2      1362      2.82      1.96      1.62         0
17:38:38            4      1359      2.82      1.96      1.62         0
17:38:39            4      1374      2.91      2.00      1.63         0
17:38:40            3      1359      2.91      2.00      1.63         0
17:38:41            2      1359      2.91      2.00      1.63         0
17:38:42            4      1362      2.91      2.00      1.63         0
17:38:43            5      1359      2.91      2.00      1.63         0
17:38:44            4      1359      3.00      2.03      1.64         0
17:38:45            5      1359      3.00      2.03      1.64         0
17:38:46            3      1360      3.00      2.03      1.64         0
17:38:47            4      1363      3.00      2.03      1.64         0
17:38:48            2      1360      3.00      2.03      1.64         0
17:38:49            5      1360      2.92      2.03      1.64         0
17:38:50            2      1360      2.92      2.03      1.64         0
17:38:51            1      1360      2.92      2.03      1.64         0
17:38:52            3      1363      2.92      2.03      1.64         0
17:38:53            3      1360      2.92      2.03      1.64         0
17:38:54            3      1360      3.09      2.08      1.66         0
17:38:55            2      1360      3.09      2.08      1.66         0
17:38:56            5      1360      3.09      2.08      1.66         0
17:38:57            3      1363      3.09      2.08      1.66         0
17:38:58            3      1360      3.09      2.08      1.66         0
17:38:59            3      1360      3.00      2.08      1.66         0
17:39:00            3      1360      3.00      2.08      1.66         0
17:39:01            4      1360      3.00      2.08      1.66         0
17:39:02            6      1363      3.00      2.08      1.66         0
17:39:03            4      1360      3.00      2.08      1.66         0
17:39:04            4      1360      2.92      2.08      1.67         0
17:39:05            4      1360      2.92      2.08      1.67         0
17:39:06            4      1360      2.92      2.08      1.67         0
17:39:07            2      1363      2.92      2.08      1.67         0
17:39:08            3      1360      2.92      2.08      1.67         0
17:39:09            3      1360      2.93      2.09      1.67         0
17:39:10            2      1360      2.93      2.09      1.67         0
17:39:11            3      1360      2.93      2.09      1.67         0
17:39:12            1      1363      2.93      2.09      1.67         0
17:39:13            4      1360      2.93      2.09      1.67         0
17:39:14            3      1360      2.85      2.09      1.68         0
17:39:15            3      1360      2.85      2.09      1.68         0
17:39:16            3      1360      2.85      2.09      1.68         0
17:39:17            1      1363      2.85      2.09      1.68         0
17:39:18            2      1360      2.85      2.09      1.68         0
17:39:19            1      1360      2.70      2.07      1.67         0
17:39:20            4      1360      2.70      2.07      1.67         0
17:39:21            5      1360      2.70      2.07      1.67         0
17:39:22            3      1363      2.70      2.07      1.67         0
17:39:23            7      1406      2.70      2.07      1.67         0
17:39:24            2      1360      2.57      2.05      1.67         0
17:39:25            2      1360      2.57      2.05      1.67         0
17:39:26            3      1360      2.57      2.05      1.67         0
17:39:27            5      1363      2.57      2.05      1.67         0
