Linux 5.15.0-136-generic (qiang-gpu6) 	09/24/25 	_x86_64_	(10 CPU)

16:17:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:17:17     all   76.12    0.00   14.59    0.00    0.00    8.39    0.00    0.00    0.00    0.90
16:17:18     all   76.98    0.00   12.31    0.00    0.00    9.51    0.00    0.00    0.00    1.20
16:17:19     all   75.65    0.00   13.72    0.00    0.00    9.05    0.00    0.00    0.00    1.59
16:17:20     all   75.20    0.00   14.50    0.00    0.00    8.80    0.00    0.00    0.00    1.50
16:17:21     all   72.56    0.00   16.38    0.00    0.00    8.74    0.00    0.00    0.00    2.31
16:17:22     all   75.02    0.00   15.18    0.00    0.00    8.79    0.00    0.00    0.00    1.00
16:17:23     all   79.00    0.00   12.10    0.00    0.00    8.30    0.00    0.00    0.00    0.60
16:17:24     all   77.28    0.00   13.61    0.00    0.00    8.21    0.00    0.00    0.00    0.90
16:17:25     all   79.48    0.00   11.71    0.00    0.00    8.21    0.00    0.00    0.00    0.60
16:17:26     all   82.90    0.00    7.46    0.00    0.00    8.15    0.00    0.00    0.00    1.49
16:17:27     all   77.79    0.00    9.55    0.00    0.00    9.55    0.00    0.00    0.00    3.12
16:17:28     all   76.63    0.00    8.43    0.00    0.00    7.82    0.00    0.00    0.00    7.12
16:17:29     all   79.82    0.00    8.09    0.00    0.00    8.79    0.00    0.00    0.00    3.30
16:17:30     all   79.86    0.00    7.72    0.20    0.00    7.82    0.00    0.00    0.00    4.41
16:17:31     all   79.42    0.00   10.24    0.00    0.00    8.43    0.00    0.00    0.00    1.91
16:17:32     all   77.25    0.00    7.52    0.00    0.00    8.62    0.00    0.00    0.00    6.61
16:17:33     all   77.53    0.00    7.92    0.00    0.00    9.13    0.00    0.00    0.00    5.42
16:17:34     all   78.38    0.00    7.31    0.00    0.00    8.91    0.00    0.00    0.00    5.41
16:17:35     all   81.64    0.00    7.32    0.00    0.00    8.53    0.00    0.00    0.00    2.51
16:17:36     all   79.03    0.00    8.85    0.00    0.00    8.85    0.00    0.00    0.00    3.28
16:17:37     all   82.25    0.00    8.43    0.00    0.00    8.93    0.00    0.00    0.00    0.40
16:17:38     all   83.23    0.00    7.58    0.00    0.00    8.18    0.00    0.00    0.00    1.00
16:17:39     all   80.14    0.00    8.93    0.00    0.00    9.43    0.00    0.00    0.00    1.50
16:17:40     all   84.12    0.00    6.79    0.00    0.00    8.19    0.00    0.00    0.00    0.90
16:17:41     all   78.98    0.00   10.61    0.00    0.00    8.71    0.00    0.00    0.00    1.70
16:17:42     all   82.50    0.00    7.40    0.00    0.00    8.30    0.00    0.00    0.00    1.80
16:17:43     all   80.18    0.00    8.31    0.00    0.00    9.11    0.00    0.00    0.00    2.40
16:17:44     all   84.98    0.00    5.51    0.00    0.00    8.11    0.00    0.00    0.00    1.40
16:17:45     all   82.10    0.00    7.70    0.00    0.00    8.20    0.00    0.00    0.00    2.00
16:17:46     all   81.44    0.00    7.42    0.00    0.00    8.83    0.00    0.00    0.00    2.31
16:17:47     all   81.72    0.00    6.69    0.00    0.00    7.89    0.00    0.00    0.00    3.70
16:17:48     all   80.77    0.00    6.65    0.00    0.00    8.46    0.00    0.00    0.00    4.13
16:17:49     all   77.76    0.00    8.22    0.00    0.00    8.62    0.00    0.00    0.00    5.41
16:17:50     all   78.92    0.00    8.33    0.10    0.00    8.33    0.00    0.00    0.00    4.32
16:17:51     all   75.65    0.00    9.72    0.00    0.00    9.02    0.00    0.00    0.00    5.61
16:17:52     all   77.43    0.00    8.43    0.00    0.00    8.93    0.00    0.00    0.00    5.22
16:17:53     all   79.14    0.00    9.83    0.00    0.00    8.83    0.00    0.00    0.00    2.21
16:17:54     all   83.93    0.00    6.89    0.00    0.00    7.98    0.00    0.00    0.00    1.20
16:17:55     all   78.13    0.00    6.92    0.20    0.00    8.73    0.00    0.00    0.00    6.02
16:17:56     all   76.29    0.00    7.06    0.00    0.00    8.58    0.00    0.00    0.00    8.07
16:17:57     all   76.29    0.00    9.76    0.00    0.00    8.76    0.00    0.00    0.00    5.18
16:17:58     all   78.69    0.00    8.54    0.00    0.00    8.74    0.00    0.00    0.00    4.02
16:17:59     all   76.28    0.00    8.54    0.00    0.00    8.94    0.00    0.00    0.00    6.23
16:18:00     all   78.26    0.00    7.92    0.10    0.00    8.22    0.00    0.00    0.00    5.51
16:18:01     all   77.14    0.00   10.07    0.00    0.00    8.56    0.00    0.00    0.00    4.23
16:18:02     all   80.68    0.00   10.21    0.00    0.00    8.61    0.00    0.00    0.00    0.50
16:18:03     all   82.30    0.00    7.80    0.00    0.00    8.60    0.00    0.00    0.00    1.30
16:18:04     all   76.92    0.00    8.29    0.00    0.00    8.89    0.00    0.00    0.00    5.89
16:18:05     all   79.28    0.00    6.64    0.00    0.00    8.45    0.00    0.00    0.00    5.63
16:18:06     all   78.76    0.00    7.62    0.00    0.00    8.22    0.00    0.00    0.00    5.41
16:18:07     all   78.69    0.00    6.83    0.10    0.00    8.74    0.00    0.00    0.00    5.63
16:18:08     all   81.34    0.00    8.53    0.00    0.00    9.13    0.00    0.00    0.00    1.00
16:18:09     all   81.81    0.00    7.34    0.00    0.00    8.64    0.00    0.00    0.00    2.21
16:18:10     all   82.00    0.00    8.30    0.00    0.00    8.30    0.00    0.00    0.00    1.40
16:18:11     all   80.96    0.00    9.32    0.00    0.00    9.12    0.00    0.00    0.00    0.60
16:18:12     all   82.32    0.00    7.49    0.00    0.00    8.59    0.00    0.00    0.00    1.60
16:18:13     all   84.02    0.00    7.09    0.00    0.00    7.89    0.00    0.00    0.00    1.00
16:18:14     all   82.88    0.00    7.71    0.00    0.00    8.41    0.00    0.00    0.00    1.00
16:18:15     all   82.11    0.00    7.64    0.00    0.00    8.54    0.00    0.00    0.00    1.71
16:18:16     all   82.60    0.00    7.50    0.00    0.00    9.20    0.00    0.00    0.00    0.70
16:18:17     all   81.18    0.00    9.11    0.00    0.00    8.61    0.00    0.00    0.00    1.10
16:18:18     all   83.03    0.00    7.19    0.00    0.00    8.78    0.00    0.00    0.00    1.00
16:18:19     all   83.92    0.10    7.14    0.00    0.00    7.94    0.00    0.00    0.00    0.90
16:18:20     all   81.54    0.00    8.38    0.10    0.00    9.08    0.00    0.00    0.00    0.90
16:18:21     all   82.53    0.00    8.43    0.00    0.00    8.23    0.00    0.00    0.00    0.80
16:18:22     all   83.58    0.00    7.21    0.00    0.00    8.11    0.00    0.00    0.00    1.10
16:18:23     all   81.52    0.00    8.59    0.00    0.00    8.69    0.00    0.00    0.00    1.20
16:18:24     all   80.36    0.00    8.52    0.00    0.00    8.82    0.00    0.00    0.00    2.30
16:18:25     all   81.18    0.00    6.51    0.00    0.00    8.21    0.00    0.00    0.00    4.10
16:18:26     all   77.33    0.00    8.43    0.00    0.00    9.23    0.00    0.00    0.00    5.02
16:18:27     all   79.40    0.00    8.64    0.00    0.00    8.84    0.00    0.00    0.00    3.12
16:18:28     all   78.17    0.00    8.95    0.00    0.00    9.56    0.00    0.00    0.00    3.32
16:18:29     all   81.02    0.00    6.99    0.00    0.00    9.09    0.00    0.00    0.00    2.90
16:18:30     all   82.60    0.00    6.24    0.20    0.00    8.35    0.00    0.00    0.00    2.62
16:18:31     all   79.88    0.00    9.51    0.00    0.00    9.11    0.00    0.00    0.00    1.50
16:18:32     all   80.26    0.00    8.82    0.00    0.00    8.32    0.00    0.00    0.00    2.61
16:18:33     all   77.72    0.00    7.86    0.00    0.00    7.96    0.00    0.00    0.00    6.45
16:18:34     all   83.05    0.00    7.12    0.00    0.00    8.12    0.00    0.00    0.00    1.71
16:18:35     all   83.40    0.00    7.10    0.00    0.00    8.40    0.00    0.00    0.00    1.10
16:18:36     all   81.94    0.00    8.28    0.00    0.00    8.48    0.00    0.00    0.00    1.30
16:18:37     all   83.92    0.00    7.09    0.00    0.00    8.29    0.00    0.00    0.00    0.70
16:18:38     all   81.91    0.00    8.44    0.00    0.00    8.54    0.00    0.00    0.00    1.11
