[0] Quadro RTX 8000 | 55°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |   165 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   6 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   6 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   291 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   443 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   7 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   7 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   559 / 49152 MB
