[0] Quadro RTX 8000 | 62°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   569 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   721 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   8 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   8 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 62°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   847 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |   999 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   6 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   4 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   4 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1115 / 49152 MB
