[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1833 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   9 % |  1833 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   9 % |  1833 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   4 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   4 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   1 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 64°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 63°C,   0 % |  1949 / 49152 MB
