[0] Quadro RTX 8000 | 40°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   2 % |   165 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   291 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   291 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   3 % |   443 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   3 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   577 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   801 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |   847 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   6 % |   999 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   6 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   4 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   4 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |  1125 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   7 % |  1277 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   7 % |  1391 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   4 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   4 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  1413 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  1413 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1425 / 49152 MB
[0] Quadro RTX 8000 | 44°C,  16 % |  1717 / 49152 MB
[0] Quadro RTX 8000 | 44°C,  16 % |  1717 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   8 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   8 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   9 % |  2111 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   4 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   4 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |  2227 / 49152 MB
